RelSpeed,InducedVertBreak,HorzBreak,SpinRate,Tilt,TaggedPitchType
89.35657,21.07729,11.65977,2427.524466,1.0,Fastball
77.30099,11.66131,19.54678,2185.069949,2.0,ChangeUp
88.57575,18.73056,15.60174,2286.041964,1.3,Fastball
81.2845,18.8391,9.56327,2104.174272,1.0,ChangeUp
87.80049,14.28824,13.90001,2218.636275,1.3,Fastball
87.17507,18.2741,9.94504,2159.936583,1.0,Fastball
76.73118,14.69013,20.2797,2151.005022,2.0,ChangeUp
75.07584,9.21371,21.16119,2094.7415,2.15,ChangeUp
87.90401,18.02158,12.63906,2331.680184,1.15,Fastball
76.58918,12.57217,19.5382,2153.137683,2.0,ChangeUp
77.5385,12.01237,19.48481,2231.822764,2.0,ChangeUp
76.69919,13.42572,20.5095,2195.697607,2.0,ChangeUp
76.09001,-10.08949,-15.95249,2707.613576,7.45,Curveball
76.52508,11.71973,19.08847,2204.226347,2.0,ChangeUp
76.96831,13.27918,18.77123,2197.07674,2.0,ChangeUp
77.92818,10.09123,22.27635,2298.775219,2.15,ChangeUp
84.30165,18.80218,11.4439,2174.940933,1.0,Fastball
85.96537,21.73824,10.60241,2173.49899,1.0,Fastball
79.83932,12.50788,-1.74114,2374.682494,11.45,Cutter
76.73123,10.36945,-11.93264,2599.042076,10.15,Slider
75.84917,9.85701,19.71131,2062.651616,2.15,ChangeUp
79.37242,8.4513,-1.62063,2355.428195,11.3,Cutter
79.52995,5.04185,-0.65984,2337.03571,11.45,Cutter
73.59047,-10.95304,-12.74824,2832.055863,7.3,Curveball
86.70848,19.37131,9.21067,2278.725797,1.0,Fastball
87.14896,16.63619,8.25256,2260.832696,1.0,Fastball
75.14561,10.11134,18.43036,2072.519261,2.15,ChangeUp
84.86136,18.16261,13.48623,2135.231231,1.15,Fastball
85.66989,19.40013,2.78677,2089.971862,12.15,Fastball
86.23013,16.6593,8.10788,2158.75334,1.0,Fastball
94.44752,8.40831,18.44812,2117.62089,2.15,Fastball
